region,province,congressional_district,no_name,name_of_institution,classification_of_institution,address,contact_number,sector,course_registered_program,duration,status
NCR,Quezon City,2nd,880,"Asian Institute of Computer Studies - Central, Inc.",TVI,"AICS Bldg., Commonwealth Ave. corner Holy Spirit Drive, Brgy. San Antonio, Quezon City",935-1651/417-3356,Electrical & Electronics,Electronics Products Assembly and Servicing NC II,260 hours,WTR
NCR,Quezon City,5th,881,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"1044 Brgy. Sta. Monica, Quirino Highway, Novaliches, Quezon City",Tel: 417-4355/             8816,Tourism,Tour Guiding Services NC II,196 hours,WTR
NCR,Quezon City,5th,881,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"1044 Brgy. Sta. Monica, Quirino Highway, Novaliches, Quezon City",Tel: 417-4355/             8816,ICT,Visual Graphic Design NC III,487 hours,WTR
NCR,Quezon City,5th,881,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"1044 Brgy. Sta. Monica, Quirino Highway, Novaliches, Quezon City",Tel: 417-4355/             8816,ICT,Programming NC IV,252 hours,WTR
NCR,Quezon City,5th,882,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"No.1071 Quirino Highway, Brgy. Kaligayahan, Novaliches, Quezon City",Tel: 417-4355 /417-8816 /930-1565,Tourism,Food & Beverage Services NC II,356 hours,WTR
NCR,Quezon City,5th,882,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"No.1071 Quirino Highway, Brgy. Kaligayahan, Novaliches, Quezon City",Tel: 417-4355 /417-8816 /930-1565,Tourism,Cookery NC II,316 hours,WTR
NCR,Quezon City,5th,882,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"No.1071 Quirino Highway, Brgy. Kaligayahan, Novaliches, Quezon City",Tel: 417-4355 /417-8816 /930-1565,Tourism,Bread & Pastry Production NC II,141 hours,WTR
NCR,Quezon City,5th,881,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"1044 Brgy. Sta. Monica, Quirino Highway, Novaliches, Quezon City",Tel: 417-4355/             8816,Tourism,Bartending NC II,438 hours,WTR
NCR,Quezon City,5th,882,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"No.1071 Quirino Highway, Brgy. Kaligayahan, Novaliches, Quezon City",Tel: 417-4355 /417-8816 /930-1565,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Quezon City,5th,882,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"No.1071 Quirino Highway, Brgy. Kaligayahan, Novaliches, Quezon City",Tel: 417-4355 /417-8816 /930-1565,ICT,Computer Systems Servicing NC II,280 hours,WTR
NCR,Quezon City,5th,882,"Bestlink College of the Philippines, Inc. (formerly: Bestlink Institute of Information Technology Inc.)",TVI,"No.1071 Quirino Highway, Brgy. Kaligayahan, Novaliches, Quezon City",Tel: 417-4355 /417-8816 /930-1565,Tourism,Front Office Services NC II,442 hours,WTR
NCR,Paranaque City,2nd,883,"Bethesda Herbal Medical College Foundation (formerly: Bethesda Herbal Medical Foundation, Inc.)",TVI,"Unit 7-G Monserrat St., BF Homes, Paranaque City",850-6347,Human Health/Health Care,Alternative Medicine,2 years,NTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Flux-Cored Arc Welding (FCAW) NC II,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Gas Metal Arc Welding (GMAW) NC II,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Gas Tungsten Arc Welding (GTAW) NC II,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC I,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC I - Mobile Training Program,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II - Mobile Training Program,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Gas Metal Arc Welding (GMAW) NC II - Mobile Training Program,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Gas Tungsten Arc Welding (GTAW) NC II - Mobile Training Program,268 hours,WTR
NCR,Quezon City,3rd,884,Cebu Science of Welding and Skills Technology Inc.,TVI,"1081-A Quirino Highway, Barangay Kaligayahan, Novaliches, Quezon City",Tel: 418-1016,Metals and Engineering,Flux-Cored Arc Welding (FCAW) NC II - Mobile Training Program,268 hours,WTR
NCR,Quezon City,3rd,885,"Center for Culinary Arts, Inc.",TVI,"Cravings Center, No287 Katipunan Avenue, Loyola Heights",F426-4840     426-4836     426-1338     426-4825,Tourism,Bread & Pastry Production NC II,141 hours,WTR
NCR,Quezon City,3rd,885,"Center for Culinary Arts, Inc.",TVI,"Cravings Center, No287 Katipunan Avenue, Loyola Heights",F426-4840     426-4836     426-1338     426-4825,Tourism,Bread & Pastry Production NC II,141 hours,WTR
NCR,Quezon City,3rd,885,"Center for Culinary Arts, Inc.",TVI,"Cravings Center, No287 Katipunan Avenue, Loyola Heights",F426-4840     426-4836     426-1338     426-4825,Tourism,Commercial Cooking NC II,436 hours,WTR
NCR,Quezon City,3rd,885,"Center for Culinary Arts, Inc.",TVI,"Cravings Center, No287 Katipunan Avenue, Loyola Heights",F426-4840     426-4836     426-1338     426-4825,Tourism,Commercial Cooking NC III,248 hours,WTR
NCR,Paranaque City,2nd,886,"Center for Excellence in Special Education (Stepping Stone) Foundation, Inc.",TVI,"No. 8011 Del Carmen St., Saint Rita Village, BF Homes, Sucat, Paranaque City",216-7232,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Paranaque City,2nd,886,"Center for Excellence in Special Education (Stepping Stone) Foundation, Inc.",TVI,"No. 8011 Del Carmen St., Saint Rita Village, BF Homes, Sucat, Paranaque City",216-7232,Tourism,Barista NC II,178 hours,WTR
NCR,Manila,4th,887,"Center for Knowledge and Advance Training (CKAT), Inc. ",TVI,"Rm. 611, 6/F S & L Bldg., 1500 Roxas Blvd., Ermita, Manila",516-1160,Social Community Dev't. & Other Services,Bookkeeping NC III,292 hours,WTR
NCR,Manila,4th,887,"Center for Knowledge and Advance Training (CKAT), Inc. ",TVI,"Rm. 611, 6/F S & L Bldg., 1500 Roxas Blvd., Ermita, Manila",516-1160,Tourism,Events Management Services NC III,108 hours,WTR
NCR,Manila,4th,887,"Center for Knowledge and Advance Training (CKAT), Inc. ",TVI,"Rm. 611, 6/F S & L Bldg., 1500 Roxas Blvd., Ermita, Manila",516-1160,Social Community Dev't. & Other Services,Finishing Course for Legal Transcription ,160 hours,NTR
NCR,Quezon City,Not stated,888,"Central Colleges of the Philippines, Inc.",TVI,"No. 39 & 52 Aurora Boulevard, Quezon City ",715-5170 to 75,Tourism,Food & Beverage Services NC II,356 hours,WTR
NCR,Quezon City,2nd,889,Colegio de Sta. Teresa de Avila Foundation Inc.,TVI,"No. 6 Kingfisher corner Skylark St. Zabarte Subdivision,Novaliche, Quezon city",939-9138/ 930-5785,Human Health/Health Care,Caregiving NC II,978 hours,WTR
NCR,Quezon City,2nd,889,Colegio de Sta. Teresa de Avila Foundation Inc.,TVI,"No. 6 Kingfisher corner Skylark St. Zabarte Subdivision,Novaliche, Quezon city",939-9138/ 930-5785,ICT,Programming NC IV,252 hours,WTR
NCR,Quezon City,2nd,889,Colegio de Sta. Teresa de Avila Foundation Inc.,TVI,"No. 6 Kingfisher corner Skylark St. Zabarte Subdivision,Novaliche, Quezon city",939-9138/ 930-5785,Tourism,Bartending NC II,438 hours,WTR
NCR,Quezon City,2nd,889,Colegio de Sta. Teresa de Avila Foundation Inc.,TVI,"No. 6 Kingfisher corner Skylark St. Zabarte Subdivision,Novaliche, Quezon city",939-9138/ 930-5785,Tourism,Bread & Pastry Production NC II,141 hours,WTR
NCR,Quezon City,2nd,889,Colegio de Sta. Teresa de Avila Foundation Inc.,TVI,"No. 6 Kingfisher corner Skylark St. Zabarte Subdivision,Novaliche, Quezon city",939-9138/ 930-5785,Tourism,Cookery NC II,316 hours,WTR
NCR,Quezon City,2nd,889,Colegio de Sta. Teresa de Avila Foundation Inc.,TVI,"No. 6 Kingfisher corner Skylark St. Zabarte Subdivision,Novaliche, Quezon city",939-9138/ 930-5785,Tourism,Food & Beverage Services NC II,356 hours,WTR
NCR,Quezon City,2nd,889,Colegio de Sta. Teresa de Avila Foundation Inc.,TVI,"No. 6 Kingfisher corner Skylark St. Zabarte Subdivision,Novaliche, Quezon city",939-9138/ 930-5785,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Quezon City,5th,890,College of St. Catherine Quezon City Inc.,TVI,"362 Quirino High-way, Novaliches Quezon City",Tel: 430-4883/ 330-4883/3620,Tourism,Bread & Pastry Production NC II,141 hours,WTR
NCR,Quezon City,5th,890,College of St. Catherine Quezon City Inc.,TVI,"362 Quirino High-way, Novaliches Quezon City",Tel: 430-4883/ 330-4883/3620,Human Health/Health Care,Massage Therapy NC II,560 hours,WTR
NCR,Quezon City,5th,890,College of St. Catherine Quezon City Inc.,TVI,"362 Quirino High-way, Novaliches Quezon City",Tel: 430-4883/ 330-4883/3620,Tourism,Food & Beverage Services NC II,336 hours,WTR
NCR,Pasig City,Lone,891,"COLLEGE OF ARTS AND SCIENCES OF ASIA AND THE PACIFIC, INC.",TVI,"L2C 5A Marcos Highway, Santolan, Pasig City",647-5011/ 497-7929,Tourism,Bartending NC II,286 hours,WTR
NCR,Pasig City,Lone,891,"COLLEGE OF ARTS AND SCIENCES OF ASIA AND THE PACIFIC, INC.",TVI,"L2C 5A Marcos Highway, Santolan, Pasig City",647-5011/ 497-7929,Social Community Dev't. & Other Services,Bookkeeping NC III,252 hours,WTR
NCR,Pasig City,Lone,891,"COLLEGE OF ARTS AND SCIENCES OF ASIA AND THE PACIFIC, INC.",TVI,"L2C 5A Marcos Highway, Santolan, Pasig City",647-5011/ 497-7929,ICT,Programming NC IV,356 hours,WTR
NCR,Pasig City,Lone,891,"COLLEGE OF ARTS AND SCIENCES OF ASIA AND THE PACIFIC, INC.",TVI,"L2C 5A Marcos Highway, Santolan, Pasig City",647-5011/ 497-7929,Tourism,Food & Beverage Services NC II,356 hours,WTR
NCR,Pasig City,Lone,891,"COLLEGE OF ARTS AND SCIENCES OF ASIA AND THE PACIFIC, INC.",TVI,"L2C 5A Marcos Highway, Santolan, Pasig City",647-5011/ 497-7929,ICT,Contact Center services NC II,144 hours,WTR
NCR,Pasig City,Lone,891,"COLLEGE OF ARTS AND SCIENCES OF ASIA AND THE PACIFIC, INC.",TVI,"L2C 5A Marcos Highway, Santolan, Pasig City",647-5011/ 497-7929,Tourism,Cookery NC II,316 hours,WTR
NCR,Pasig City,Lone,891,"COLLEGE OF ARTS AND SCIENCES OF ASIA AND THE PACIFIC, INC.",TVI,"L2C 5A Marcos Highway, Santolan, Pasig City",647-5011/ 497-7929,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Marikina City,2nd,892,College of Arts and Sciences of Asia and the Pacific – Marikina City Inc.,TVI,"Santan Street, Barangay Fortune, Marikina City",866-4420,Tourism,Cookery NC II,316 hours,WTR
NCR,Marikina City,2nd,892,College of Arts and Sciences of Asia and the Pacific – Marikina City Inc.,TVI,"Santan Street, Barangay Fortune, Marikina City",866-4420,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Malabon,Lone,893,"College of Saint Amatiel, Inc.",TVI,"118 Interior Gen. Luna St., Malabon City ",487-9404/ 351-4993,Social Community Dev't. & Other Services,Bookkeeping NC III,292 hours,WTR
NCR,Malabon,Lone,893,"College of Saint Amatiel, Inc.",TVI,"118 Interior Gen. Luna St., Malabon City ",487-9404/ 351-4993,ICT,Visual Graphic Design NC III,487 hours,WTR
NCR,Malabon,Lone,893,"College of Saint Amatiel, Inc.",TVI,"118 Interior Gen. Luna St., Malabon City ",487-9404/ 351-4993,Tourism,Bread & Pastry Production NC II,141 hours,WTR
NCR,Malabon,Lone,893,"College of Saint Amatiel, Inc.",TVI,"118 Interior Gen. Luna St., Malabon City ",487-9404/ 351-4993,Tourism,Food & Beverage Services NC II,356 hours,WTR
NCR,Malabon,Lone,893,"College of Saint Amatiel, Inc.",TVI,"118 Interior Gen. Luna St., Malabon City ",487-9404/ 351-4993,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
NCR,Malabon,Lone,893,"College of Saint Amatiel, Inc.",TVI,"118 Interior Gen. Luna St., Malabon City ",487-9404/ 351-4993,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Quezon City,2nd,894,"Datamex Institute of Computer Technology, Inc.",TVI,"CPE Bldg., Lot 9 Blk 2 Don Mariano Marcos Ave., Brgy. Fairview, Quezon City",Tel: 461-7057/ 461-7067,ICT,Programming NC IV,252 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Human Health/Health Care,Health Care Services NC II,Not Available,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Tourism,Food & Beverage Services NC II,356 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Human Health/Health Care,Caregiving NC II,978 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC I,268 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II,268 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Electrical & Electronics,Electronics Products Assembly and Servicing NC II,260 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Automotive and Land Transportation,Automotive Servicing NC I,156 hours,WTR
NCR,Quezon City,6th,895,"Dr. Carlos S. Lanting College, Inc. (formerly Dr. Carlos S. Lanting School of Midwifery, Incorporated)",HEI,"16 Tandang Sora Avenue, Quezon City",938-7782/ 89,Automotive and Land Transportation,Automotive Servicing NC II,676 hours,WTR
NCR,Quezon City,5th,896,Korea-Philippines IT Training Center,TESDA Technology Institution,"2nd Floor, PlazAndres Bldg., Don Antonio Heights, Quezon City",Tel: 938-3651/ Fax:937-7251,ICT,Professional Assistant Animator NC III,316 hours,WTR
NCR,Quezon City,2nd,897,Korea-Philippines IT Training Center,TESDA Technology Institution,"673 Quirino Highway, Bgy. San Bartolome, Novaliches, Quezon City",Tel: 938-3651/ Fax:937-7251,ICT,Professional 3D Maya Animation NC III ,316 hours,WTR
NCR,Quezon City,2nd,897,Korea-Philippines IT Training Center,TESDA Technology Institution,"673 Quirino Highway, Bgy. San Bartolome, Novaliches, Quezon City",Tel: 938-3651/ Fax:937-7251,ICT,Career Entry Course for Software Developers NC IV Using Oracle,Not Available,NTR
NCR,Quezon City,2nd,897,Korea-Philippines IT Training Center,TESDA Technology Institution,"673 Quirino Highway, Bgy. San Bartolome, Novaliches, Quezon City",Tel: 938-3651/ Fax:937-7251,ICT,Career Entry Course for Software Developers NC IV Using Java,Not Available,NTR
NCR,Quezon City,2nd,897,Korea-Philippines IT Training Center,TESDA Technology Institution,"673 Quirino Highway, Bgy. San Bartolome, Novaliches, Quezon City",Tel: 938-3651/ Fax:937-7251,ICT,Career Entry Course for Software Developers NC IV Using Microsoft.Net,Not Available,NTR
NCR,Quezon City,6th,898,"Asegco Security Training Institute, Inc. (fomerly: Lenar Security Academy Inc.)",TVI,"Tierra Commercial Center, Commonwealth cor. Tandang Sora Ave., Quezon City",3818222,Social Community Dev't. & Other Services,Security Services NC I,206 hours,WTR
NCR,Quezon City,6th,898,"Asegco Security Training Institute, Inc. (fomerly: Lenar Security Academy Inc.)",TVI,"Tierra Commercial Center, Commonwealth cor. Tandang Sora Ave., Quezon City",3818222,Social Community Dev't. & Other Services,Security Services NC II,223 hours,WTR
NCR,Quezon City,6th,898,"Asegco Security Training Institute, Inc. (fomerly: Lenar Security Academy Inc.)",TVI,"Tierra Commercial Center, Commonwealth cor. Tandang Sora Ave., Quezon City",3818222,Social Community Dev't. & Other Services,Basic Security Supervisory Course,56 hours,NTR
NCR,Manila,4th,899,"LJA Culinary School of Manila, Inc.",TVI,"955 Vicente G. Cruz, Sampaloc, Manila ",712-0191,Tourism,Food & Beverage Services NC II,372 hours,WTR
NCR,Manila,4th,899,"LJA Culinary School of Manila, Inc.",TVI,"955 Vicente G. Cruz, Sampaloc, Manila ",712-0191,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Manila,4th,899,"LJA Culinary School of Manila, Inc.",TVI,"955 Vicente G. Cruz, Sampaloc, Manila ",712-0191,Tourism,Bartending NC II,286 hours,WTR
NCR,Las Pinas City,Not stated,900,"Lok Yee Training and Assessment Centre, Inc.",TVI,"No. 19 Daffodil St. Pilar Village, Las Piñas City ",None,Social Community Dev't. & Other Services,Domestic Work NC II,258 hours,WTR
NCR,Pasig City,Lone,901,"Lorbel Skills Training and Assessment Center, Inc.",TVI,"No. 376M Concepcion Street, San Joaquin, Pasig City",941-6173,Social Community Dev't. & Other Services,Housekeeping NC II,436 hours,WTR
NCR,Quezon City,2nd,902,Mentors of Ideal Teachings Inc.,TVI,"2nd Flr., Plaza Andrea Bldg. Don Antonio Heights, Quezon City",Tel: 381-9489 F430-2990,Others (Language),Elementary English,120 hours,NTR
NCR,Quezon City,2nd,902,Mentors of Ideal Teachings Inc.,TVI,"2nd Flr., Plaza Andrea Bldg. Don Antonio Heights, Quezon City",Tel: 381-9489 F430-2990,Others (Language),Intermediate English,120 hours,NTR
NCR,Taguig City,1st,903,MERIDIAN INTERNATIONAL COLLEGE OF BUSINESS AND ARTS AND TECHNOLOGY,TVI,"2/F Commerce and Industry Plaza Bldg., Campus Ave., McKinley Hill, Fort Bonifacio, Taguig City",None,ICT,Programming NC IV,252 hours,WTR
NCR,Quezon City,2nd,904,Montessori Professional College Lagro - Branch Inc.,HEI,"Quirino Highway cor. Ascension Ave., Lagro, Quezon City",935-00-61/419-1312/ 419-1290,ICT,Programming NC IV,252 hours,WTR
NCR,Quezon City,2nd,904,Montessori Professional College Lagro - Branch Inc.,HEI,"Quirino Highway cor. Ascension Ave., Lagro, Quezon City",935-00-61/419-1312/ 419-1290,Tourism,Front Office Services NC II,436 hours,WTR
NCR,Quezon City,2nd,904,Montessori Professional College Lagro - Branch Inc.,HEI,"Quirino Highway cor. Ascension Ave., Lagro, Quezon City",935-00-61/419-1312/ 419-1290,Social Community Dev't. & Other Services,Bookkeeping NC III,292 hours,WTR
NCR,Quezon City,2nd,905,National Polytechnic College of Science and Technology (formerly National Polytechnic Institute),TVI,"Blk 125, Lot 22, Quirino Highway, LAGRO, Quezon City ( formerly located at JB Crystal Bldg., Quirino Highway, Lagro, Quezon City)",Tel 419-7890 / 418-7284 / 418-8837,Automotive and Land Transportation,Automotive Servicing NC I,288 hours,WTR
NCR,Quezon City,2nd,905,National Polytechnic College of Science and Technology (formerly National Polytechnic Institute),TVI,"Blk 125, Lot 22, Quirino Highway, LAGRO, Quezon City ( formerly located at JB Crystal Bldg., Quirino Highway, Lagro, Quezon City)",Tel 419-7890 / 418-7284 / 418-8837,Electrical & Electronics,Electrical Installation & Maintenance NC II,402 hours,WTR
NCR,Quezon City,2nd,905,National Polytechnic College of Science and Technology (formerly National Polytechnic Institute),TVI,"Blk 125, Lot 22, Quirino Highway, LAGRO, Quezon City ( formerly located at JB Crystal Bldg., Quirino Highway, Lagro, Quezon City)",Tel 419-7890 / 418-7284 / 418-8837,Electrical & Electronics,Electronics Products Assembly and Servicing NC II,260 hours,WTR
NCR,Quezon City,2nd,905,National Polytechnic College of Science and Technology (formerly National Polytechnic Institute),TVI,"Blk 125, Lot 22, Quirino Highway, LAGRO, Quezon City ( formerly located at JB Crystal Bldg., Quirino Highway, Lagro, Quezon City)",Tel 419-7890 / 418-7284 / 418-8837,Automotive and Land Transportation,Automotive Servicing NC II,676 hours,WTR
NCR,Quezon City,2nd,905,National Polytechnic College of Science and Technology (formerly National Polytechnic Institute),TVI,"Blk 125, Lot 22, Quirino Highway, LAGRO, Quezon City ( formerly located at JB Crystal Bldg., Quirino Highway, Lagro, Quezon City)",Tel 419-7890 / 418-7284 / 418-8837,Electrical & Electronics,Computer Systems Servicing NC II,280 hours,WTR
NCR,Quezon City,2nd,905,National Polytechnic College of Science and Technology (formerly National Polytechnic Institute),TVI,"Blk 125, Lot 22, Quirino Highway, LAGRO, Quezon City ( formerly located at JB Crystal Bldg., Quirino Highway, Lagro, Quezon City)",Tel 419-7890 / 418-7284 / 418-8837,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Quezon City,2nd,905,National Polytechnic College of Science and Technology (formerly National Polytechnic Institute),TVI,"Blk 125, Lot 22, Quirino Highway, LAGRO, Quezon City ( formerly located at JB Crystal Bldg., Quirino Highway, Lagro, Quezon City)",Tel 419-7890 / 418-7284 / 418-8837,Tourism,Food & Beverage Services NC II,356 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Metals and Engineering,Shielded Metal Arc Welding (SMAW) NC II                       ,268 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,ICT,Finishing Course for Call Center Agents      ,100 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Construction,Plumbing NC II,162 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Construction,Carpentry NC II,162 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Construction,Masonry NC II,258 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Metals and Engineering,Machining NC I,374 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,ICT,Programming NC IV,252 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,ICT,Animation NC III,830 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,ICT,Computer Hardware Servicing NC II,356 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Automotive and Land Transportation,Automotive Servicing NC I,288 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Metals and Engineering,Welding Carbon Steel Plate Pipes Using SMAW Leading to Welding NC II,40 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Metals and Engineering,Machining NC II,337 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Tourism,Housekeeping NC II,436 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Social Community Dev't. & Other Services,Household Services NC II,216 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Tourism,Commercial Cooking NC II,436 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Tourism,Baking/Pastry Production NC II,116 hours,WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Social Community Dev't. & Other Services,Beauty Care NC II,"1,098 hours",WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Social Community Dev't. & Other Services,Hairdressing NC II,"1,096 hours",WTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Social Community Dev't. & Other Services,Piano Course I,80 hours,NTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Social Community Dev't. & Other Services,Piano Course II,80 hours,NTR
NCR,Quezon City,6th,906,New Era University,HEI,"St. Joseph St., Milton Hills Subd., Bgy. New Era",981-4221/40,Social Community Dev't. & Other Services,Voice Course I,80 hours,NTR
